9.0135,-2.0117,0.35365,-1.6308,-1.1585,-0.946,-0.63399,0.34428,0.32997,12.88,1.0304,2.2706,-1.1073,-0.16843,0.91312,-0.60852,0.12865,-0.26547,11.85,-3.4716,3.88,3.2268,-1.1036,-0.76758,-0.75082,0.23838,0.18732,-9.3005,-4.7215,-3.0269,0.037153,0.35976,1.5198,0.59001,0.080556,0.57229,-9.0992,2.5184,-2.1088,0.49666,-0.21999,-1.3623,0.61989,-0.25954,-0.20922
20.602,-3.0825,-5.2271,-1.5376,-1.1643,-0.39782,-0.61679,0.31167,0.38373,17.008,1.1651,-0.072396,1.1028,-0.14651,0.85123,-0.60375,0.14998,-0.25752,15.569,0.25895,0.86229,2.0583,-0.78558,0.12785,-0.74889,0.25028,0.1893,-13.383,-0.34822,-1.8083,-0.07276,0.17729,0.2701,0.58599,0.064455,0.57783,-15.051,7.1893,0.8882,-0.94206,-0.096012,-0.14614,0.62548,-0.24131,-0.22084
18.206,-3.0464,-0.1503,0.16647,0.23848,-0.72071,-0.61159,0.28786,0.40276,13.668,3.0066,0.659,1.6554,-0.33486,0.90673,-0.60004,0.15488,-0.26069,15.193,1.5996,1.5251,-1.3418,-0.18077,0.62772,-0.7391,0.26334,0.19826,-13.46,-0.34363,0.62093,-1.4953,0.16042,-0.29119,0.58073,0.04476,0.58514,-12.405,4.8073,-0.72433,-1.2026,-0.1592,0.12973,0.62241,-0.23164,-0.23805
11.896,-0.87072,0.047249,0.052409,-0.23636,-0.3792,-0.61317,0.27581,0.41714,9.3811,3.0735,1.9305,0.091739,-0.86803,1.294,-0.59874,0.18134,-0.24342,9.0108,-0.38917,4.1256,-3.3985,-0.46161,0.27572,-0.72912,0.26075,0.23367,-10.308,-1.1192,-1.0179,0.27917,0.056089,-0.47479,0.57956,0.044095,0.58302,-10.485,-2.3855,-1.279,-0.19139,-0.25601,0.71393,0.61581,-0.23771,-0.24739
4.7203,-0.19776,-1.972,-0.24206,-0.65067,-0.52088,-0.60967,0.26534,0.43145,3.8046,0.45457,3.2595,0.06281,-0.85608,1.7438,-0.59676,0.21993,-0.21837,4.254,-5.3571,6.9609,-0.88171,-0.60631,-0.4195,-0.72633,0.23571,0.27044,-5.8431,7.2054,-2.3027,0.97253,-0.056763,-0.23844,0.58342,0.073707,0.57498,-7.2201,-7.7063,-0.64807,0.20519,0.082647,0.50774,0.60709,-0.25799,-0.24143
1.1695,-0.56528,-1.1062,0.076713,-0.09496,-0.71923,-0.61137,0.25744,0.43118,-0.84306,0.88312,3.9691,0.46472,-0.48335,2.1179,-0.58387,0.25979,-0.20918,1.251,-3.6733,5.2752,3.4933,-0.40078,-0.62933,-0.72362,0.22928,0.27296,-3.8966,9.2746,-2.1083,1.123,0.019422,0.92016,0.58775,0.083409,0.57464,-5.0246,-9.2537,3.172,-0.98411,-0.32874,-0.59824,0.60923,-0.24807,-0.25171
-0.38892,0.42085,-1.9396,0.23055,-0.10126,-0.66444,-0.61375,0.24296,0.43249,2.2603,1.0476,2.9855,0.9494,-0.35581,1.9124,-0.5592,0.30136,-0.20456,-1.4836,0.6196,3.3772,3.3864,-0.31332,-0.017556,-0.72782,0.25921,0.25012,-0.545,7.6433,-3.3596,1.2949,0.71856,1.5757,0.58404,0.076127,0.58794,-4.7529,-8.9398,4.8955,-1.0499,-0.22339,-1.2116,0.61618,-0.21038,-0.27171
1.966,2.9117,-3.4944,1.0884,0.38122,-0.34043,-0.61553,0.2449,0.42601,5.1713,2.0643,2.2159,1.2013,-0.048405,1.4271,-0.53098,0.33081,-0.21621,1.7152,-1.2016,1.5507,3.0728,0.79114,0.13437,-0.73356,0.2876,0.21862,-4.435,4.9913,-2.3245,-0.1925,0.31161,2.1389,0.57286,0.035361,0.61934,-3.6439,-1.1794,-0.72692,0.13133,-0.5008,-1.2327,0.61815,-0.17092,-0.29347
7.2266,5.2683,-5.0952,0.72132,0.56339,0.66199,-0.61489,0.26484,0.41376,14.143,2.3417,2.7532,0.56762,0.3912,0.5417,-0.50387,0.35649,-0.22798,10.432,0.41691,1.767,-0.032192,1.3547,-0.21428,-0.74935,0.30724,0.16281,-6.4958,-0.10988,-3.8608,-0.58821,0.65835,1.2332,0.5607,-0.016848,0.6559,-7.0868,0.93197,-1.8252,1.1415,0.019867,-1.3351,0.62315,-0.1403,-0.30377
22.525,1.8153,-11.417,-5.3128,-0.050233,1.3232,-0.59775,0.26413,0.43504,26.313,0.002627,-0.53087,1.0881,1.0589,-1.3264,-0.49262,0.34019,-0.25499,31.775,-1.2453,-1.5987,-2.7328,2.4759,-0.30542,-0.77281,0.29439,0.13107,-20.591,0.60468,0.21406,-0.047539,0.063746,0.20455,0.53304,-0.042287,0.69272,-18.71,7.5608,-4.3417,-0.69325,0.23105,-0.039894,0.62747,-0.12445,-0.30991
